Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
8699,CA-2020-119284,15-Jun-2020,20-Jun-2020,Standard Class,TS-21205,Thomas Seio,Corporate,United States,Nashville,Tennessee,South,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",130.96,2,-28.224,1,Cards
9529,CA-2020-156958,05-Dec-2020,06-Dec-2020,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,West,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,87.296,2,3.0212,1,COD
6544,US-2020-107888,16-Nov-2020,19-Nov-2020,First Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,110.29,1,7.9896,1,COD
9727,CA-2020-167395,02-Dec-2020,04-Dec-2020,First Class,KM-16720,Kunst Miller,Consumer,United States,Lowell,Massachusetts,East,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,325.86,7,80.3208,1,COD
3557,CA-2020-118542,01-Dec-2020,05-Dec-2020,Standard Class,CC-12550,Clay Cheatham,Consumer,United States,Los Angeles,California,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,130.36,7,21.7728,1,COD
3057,CA-2020-131492,19-Oct-2020,24-Oct-2020,Second Class,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,West,OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,112.96,2,4.3008,1,COD
3380,CA-2020-142867,17-Mar-2020,21-Mar-2020,Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Houston,Texas,Central,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,119.272,3,3.21,1,Online
7245,US-2020-151127,22-May-2020,25-May-2020,First Class,RL-19615,Rob Lucas,Consumer,United States,Los Angeles,California,West,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,155.56,7,18.8328,1,Online
5649,CA-2020-142342,17-Jul-2020,19-Jul-2020,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Apple Valley,California,West,OFF-PA-10004609,Office Supplies,Paper,Xerox 221,106.4,5,15.552,1,COD
9848,CA-2020-169327,02-Sept-2020,04-Sept-2020,Second Class,MH-17290,Marc Harrigan,Home Office,United States,Los Angeles,California,West,FUR-FU-10004188,Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,559.5,5,132.99,1,COD
6971,CA-2020-153822,19-Sept-2020,25-Sept-2020,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,135.624,2,-2.5248,1,Online
7958,CA-2020-131807,05-Oct-2020,10-Oct-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,West,OFF-AP-10004052,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",88.8,4,4.108,1,COD
2846,CA-2020-138163,17-Nov-2020,20-Nov-2020,First Class,XP-21865,Xylona Preis,Consumer,United States,Everett,Massachusetts,East,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,171.94,3,14.2632,1,COD
1114,CA-2020-140585,18-Dec-2020,23-Dec-2020,Second Class,RA-19915,Russell Applegate,Consumer,United States,Encinitas,California,West,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,455.672,2,16.3352,1,Cards
1297,CA-2020-115427,30-Dec-2020,03-Jan-2021,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",295.904,2,4.5188,1,Online
9728,CA-2020-167395,02-Dec-2020,04-Dec-2020,First Class,KM-16720,Kunst Miller,Consumer,United States,Lowell,Massachusetts,East,TEC-PH-10004977,Technology,Phones,GE 30524EE4,289.95,5,284.1855,1,Cards
9006,CA-2020-107825,18-Nov-2020,18-Nov-2020,Same Day,NB-18655,Nona Balk,Corporate,United States,Milwaukee,Wisconsin,Central,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",142.52,6,24.9804,1,COD
5794,CA-2020-140186,29-Sept-2020,02-Oct-2020,First Class,PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,West,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",101.75,1,15.525,1,Cards
6094,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,113.64,2,21.792,1,Online
3752,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,261.28,3,23.028,1,COD
4106,US-2020-155999,07-Aug-2020,13-Aug-2020,Standard Class,JK-15370,Jay Kimmel,Consumer,United States,San Diego,California,West,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,88.76,2,4.644,1,Online
4914,CA-2020-127306,14-Jan-2020,18-Jan-2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,101.508,2,-1.8392,1,Cards
3098,CA-2020-135692,27-Apr-2020,01-May-2020,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Fort Worth,Texas,Central,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",171.12,4,11.592,1,Online
9344,CA-2020-109085,17-Feb-2020,20-Feb-2020,First Class,CK-12325,Christine Kargatis,Home Office,United States,Troy,Ohio,East,FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",504.97,5,-106.393,1,Online
6577,CA-2020-123085,03-Mar-2020,08-Mar-2020,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,Los Angeles,California,West,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,185.352,3,-17.0352,1,Online
2437,CA-2020-140053,03-Jul-2020,10-Jul-2020,Standard Class,CA-12265,Christina Anderson,Consumer,United States,Farmington,New Mexico,West,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",592.85,9,114.6285,1,Online
4528,US-2020-105046,17-Jul-2020,23-Jul-2020,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Rome,New York,East,FUR-FU-10004848,Furniture,Furnishings,DAX Solid Wood Frames,128.08,4,14.4596,1,COD
2100,CA-2020-124401,07-Sept-2020,12-Sept-2020,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Portland,Oregon,West,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,311.944,7,80.4839,1,Online
6972,CA-2020-153822,19-Sept-2020,25-Sept-2020,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,West,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,113.584,2,4.4792,1,Online
915,CA-2020-102519,27-Nov-2020,29-Nov-2020,First Class,BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,Central,TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,166.73,9,56.0547,1,COD
9528,CA-2020-156958,05-Dec-2020,06-Dec-2020,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,West,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,216.752,6,60.4632,1,Online
2964,CA-2020-137428,16-Dec-2020,21-Dec-2020,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",386.184,2,6.074,1,COD
8951,CA-2020-150910,22-Dec-2020,28-Dec-2020,Standard Class,JL-15130,Jack Lebron,Consumer,United States,Jackson,Tennessee,South,TEC-AC-10001013,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,159.864,2,7.6154,1,Cards
2244,CA-2020-103380,21-Nov-2020,25-Nov-2020,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,West,OFF-AR-10003856,Office Supplies,Art,Newell 344,113.56,2,1.4456,1,COD
2247,CA-2020-103380,21-Nov-2020,25-Nov-2020,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,West,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,696.976,3,49.4982,1,Cards
7120,CA-2020-118122,17-Nov-2020,24-Nov-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Seattle,Washington,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",77.904,2,4.5188,1,Online
6099,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,108.36,2,1.7876,1,COD
9345,CA-2020-109085,17-Feb-2020,20-Feb-2020,First Class,CK-12325,Christine Kargatis,Home Office,United States,Troy,Ohio,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",92.715,5,-4.7625,1,Online
9122,CA-2020-122007,18-Mar-2020,20-Mar-2020,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Los Angeles,California,West,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,136.86,7,26.3494,1,COD
5741,US-2020-147886,28-Mar-2020,31-Mar-2020,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,West,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,153.48,1,10.0624,1,Cards
6125,CA-2020-145772,03-Jun-2020,07-Jun-2020,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,West,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,156.75,5,8.5025,1,Online
8700,CA-2020-119284,15-Jun-2020,20-Jun-2020,Standard Class,TS-21205,Thomas Seio,Corporate,United States,Nashville,Tennessee,South,TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),2261.936,8,223.9936,1,COD
5651,CA-2020-142342,17-Jul-2020,19-Jul-2020,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Apple Valley,California,West,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers,121.56,2,0,1,Cards
7936,CA-2020-166093,17-Aug-2020,24-Aug-2020,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,OFF-PA-10003893,Office Supplies,Paper,Xerox 1962,119.56,2,3.852,1,COD
1217,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,136.88,3,28.764,1,Online
1213,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,167.372,2,-48.4704,1,Online
6097,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",116.991,1,8.0991,1,COD
9326,CA-2020-121853,23-Sept-2020,29-Sept-2020,Standard Class,DB-13660,Duane Benoit,Consumer,United States,Los Angeles,California,West,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,122.96,3,23.712,1,COD
3712,CA-2020-113670,15-Oct-2020,17-Oct-2020,First Class,RS-19765,Roland Schwarz,Corporate,United States,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,238.95,5,100.4255,1,COD
1709,CA-2020-123491,30-Oct-2020,05-Nov-2020,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,West,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",120.42,2,3.71,1,Online
9009,CA-2020-107825,18-Nov-2020,18-Nov-2020,Same Day,NB-18655,Nona Balk,Corporate,United States,Milwaukee,Wisconsin,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",104.82,2,2.7354,1,COD
4350,CA-2020-169894,24-Nov-2020,29-Nov-2020,Second Class,MV-17485,Mark Van Huff,Consumer,United States,Mesa,Arizona,West,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,450.872,8,-41.5872,1,COD
1298,CA-2020-115427,30-Dec-2020,03-Jan-2021,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,West,OFF-BI-10004632,Office Supplies,Binders,GBC Binding covers,496.72,2,6.475,1,Online
3589,CA-2020-158729,19-Dec-2020,21-Dec-2020,First Class,AC-10450,Amy Cox,Consumer,United States,Lafayette,Louisiana,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,2029.62,2,33.3124,1,Online
955,CA-2020-136539,28-Dec-2020,01-Jan-2021,Standard Class,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,Central,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",188.8528,2,-11.596,1,Online
8950,CA-2020-150910,22-Dec-2020,28-Dec-2020,Standard Class,JL-15130,Jack Lebron,Consumer,United States,Jackson,Tennessee,South,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",510.956,6,-249.3216,1,Cards
914,CA-2020-102519,27-Nov-2020,29-Nov-2020,First Class,BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,Central,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",147.94,1,19.2454,1,Online
4349,CA-2020-169894,24-Nov-2020,29-Nov-2020,Second Class,MV-17485,Mark Van Huff,Consumer,United States,Mesa,Arizona,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,107.724,2,-15.1976,1,COD
6542,US-2020-107888,16-Nov-2020,19-Nov-2020,First Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,West,FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",186.92,2,23.7864,1,Online
4779,CA-2020-132346,07-Nov-2020,11-Nov-2020,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Newark,Delaware,East,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,127.94,7,33.3102,1,COD
6091,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,318.646,3,18.1764,1,COD
9324,CA-2020-121853,23-Sept-2020,29-Sept-2020,Standard Class,DB-13660,Duane Benoit,Consumer,United States,Los Angeles,California,West,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,223.04,8,97.0784,1,COD
9595,CA-2020-108931,14-Sept-2020,19-Sept-2020,Standard Class,HZ-14950,Henia Zydlo,Consumer,United States,New York City,New York,East,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,119.56,2,5.6644,1,Cards
1215,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",124.503,1,-3.6024,1,Online
3340,US-2020-109253,21-Aug-2020,22-Aug-2020,First Class,PR-18880,Patrick Ryan,Consumer,United States,Oakland,California,West,OFF-AP-10002867,Office Supplies,Appliances,Fellowes Command Center 5-outlet power strip,237.52,3,54.9504,1,Cards
3336,US-2020-109253,21-Aug-2020,22-Aug-2020,First Class,PR-18880,Patrick Ryan,Consumer,United States,Oakland,California,West,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,450.968,4,37.7972,1,Online
3750,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,889.984,2,329.994,1,COD
2503,CA-2020-131618,17-Jun-2020,20-Jun-2020,First Class,LS-17200,Luke Schmidt,Corporate,United States,Skokie,Illinois,Central,OFF-BI-10001294,Office Supplies,Binders,Fellowes Binding Cases,123.36,4,-16.38,1,Online
5266,CA-2020-147452,30-Sept-2020,03-Oct-2020,First Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",100.76,2,5.7624,1,Online
3099,CA-2020-135692,27-Apr-2020,01-May-2020,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Fort Worth,Texas,Central,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,269.2656,4,-42.1096,1,COD
8619,CA-2020-117513,03-Mar-2020,08-Mar-2020,Standard Class,BT-11395,Bill Tyler,Corporate,United States,Los Angeles,California,West,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",426.672,7,-14.9877,1,COD
9347,CA-2020-109085,17-Feb-2020,20-Feb-2020,First Class,CK-12325,Christine Kargatis,Home Office,United States,Troy,Ohio,East,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,126.144,2,8.2896,1,Online
1192,CA-2020-117212,26-Feb-2020,28-Feb-2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,249.92,4,109.7208,1,Online
3735,CA-2020-168193,06-Mar-2020,11-Mar-2020,Second Class,RM-19750,Roland Murray,Consumer,United States,New York City,New York,East,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,132.38,1,12.1348,1,Online
5746,US-2020-147886,28-Mar-2020,31-Mar-2020,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,West,FUR-FU-10003829,Furniture,Furnishings,Stackable Trays,127.56,7,6.8992,1,Cards
9015,CA-2020-143084,18-Mar-2020,22-Mar-2020,Standard Class,BP-11050,Barry Pond,Corporate,United States,Los Angeles,California,West,OFF-EN-10003072,Office Supplies,Envelopes,Peel & Seel Envelopes,143.4,5,9.312,1,Cards
3755,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,378.9,5,17.745,1,Online
4496,CA-2020-112753,18-Jun-2020,23-Jun-2020,Standard Class,CC-12670,Craig Carreira,Consumer,United States,Los Angeles,California,West,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",965.9235,9,75.5937,1,Online
7938,CA-2020-166093,17-Aug-2020,24-Aug-2020,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,2547.29,9,654.7554,1,COD
2864,US-2020-103828,13-Aug-2020,13-Aug-2020,Same Day,JK-15370,Jay Kimmel,Consumer,United States,San Francisco,California,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,126.44,3,8.4888,1,COD
9081,CA-2020-166898,11-Sept-2020,13-Sept-2020,Second Class,KH-16630,Ken Heidel,Corporate,United States,Santa Ana,California,West,TEC-PH-10002564,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,175.952,6,17.994,1,COD
6351,CA-2020-161557,03-Sept-2020,08-Sept-2020,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,Dallas,Texas,Central,FUR-FU-10004622,Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,142.4,5,-105.69,1,Online
6406,CA-2020-154074,31-Aug-2020,02-Sept-2020,Second Class,BW-11110,Bart Watters,Corporate,United States,Spokane,Washington,West,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,599.568,2,7.1196,1,COD
6100,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2903.127,11,609.7157,1,Online
2966,CA-2020-137428,16-Dec-2020,21-Dec-2020,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,West,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",286.96,2,7.584,1,Online
1711,CA-2020-123491,30-Oct-2020,05-Nov-2020,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,89.9,5,6.567,1,Online
4389,CA-2020-111556,20-Nov-2020,22-Nov-2020,First Class,CD-11920,Carlos Daly,Consumer,United States,New York City,New York,East,OFF-PA-10003651,Office Supplies,Paper,Xerox 1968,115.76,7,22.4448,1,COD
